Contents,,,,,,,,,,,,,,,,,,,
UK summary - positivity,,,,,,,,,,,,,,,,,,,
"Official reported estimates of the percentage of the population testing positive for COVID-19, UK countries",,,,,,,,,,,,,,,,,,,
27 April 2020 to 13 February 2022,,,,,,,,,,,,,,,,,,,
England,,,,,Wales,,,,,Northern Ireland,,,,,Scotland,,,,
Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method,$'UK summary - positivity'.$B$1:$B$1048576,Estimated average % of the population that had COVID-19,95% Lower credible interval,95% Upper credible interval,Method,Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method,Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method
27 April 2020 to 10 May 2020,0.27,0.17,0.41,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04 May 2020 to 17 May 2020,0.25,0.16,0.38,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11 May 2020 to 24 May 2020,0.24,0.11,0.46,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17 May 2020 to 30 May 2020,0.10,0.05,0.18,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25 May 2020 to 07 June 2020,0.06,0.02,0.12,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31 May 2020 to 13 June 2020,0.06,0.02,0.13,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08 June 2020 to 21 June 2020,0.09,0.04,0.19,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14 June 2020 to 27 June 2020,0.04,0.02,0.08,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22 June 2020 to 05 July 2020,0.03,0.01,0.06,14-day weighted estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06 July 2020 to 12 July 2020 ,0.04,0.03,0.06,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13 July 2020 to 19 July 2020 ,0.05,0.03,0.07,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20 July 2020 to 26 July 2020 ,0.07,0.04,0.10,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27 July 2020 to 02 August 2020 ,0.05,0.03,0.07,modelled weekly estimates,27 July 2020 to 02 August 2020,0.05,0.01,0.11,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
03 August 2020 to 09 August 2020 ,0.05,0.03,0.07,modelled weekly estimates,03 August 2020 to 09 August 2020,0.05,0.01,0.11,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
07 August 2020 to 13 August 2020 ,0.05,0.03,0.06,modelled weekly estimates,07 August 2020 to 13 August 2020,0.04,0.01,0.10,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
14 August 2020 to 20 August 2020 ,0.05,0.04,0.07,modelled weekly estimates,14 August 2020 to 20 August 2020,0.04,0.01,0.09,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
19 August 2020 to 25 August 2020 ,0.05,0.04,0.07,modelled weekly estimates,19 August 2020 to 25 August 2020,0.05,0.01,0.11,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
30 August 2020 to 05 September 2020 ,0.07,0.05,0.10,modelled weekly estimates,30 August 2020 to 05 September 2020,0.04,0.01,0.09,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
04 September 2020 to 10 September 2020 ,0.11,0.09,0.14,modelled weekly estimates,04 September 2020 to 10 September 2020,0.05,0.01,0.13,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
13 September 2020 to 19 September 2020 ,0.19,0.16,0.23,modelled weekly estimates,13 September 2020 to 19 September 2020,0.35,0.14,0.66,modelled weekly estimates,-,-,-,-,-,-,-,-,-,-
18 September 2020 to 24 September 2020 ,0.21,0.18,0.24,modelled weekly estimates,18 September 2020 to 24 September 2020,0.21,0.09,0.39,modelled weekly estimates,11 September 2020 to 24 September 2020,0.26,0.08,0.64,14-day weighted estimates,-,-,-,-,-
25 September 2020 to 01 October 2020 ,0.41,0.37,0.45,modelled weekly estimates,25 September 2020 to 01 October 2020,0.20,0.06,0.48,modelled weekly estimates,18 September 2020 to 01 October 2020,0.22,0.05,0.60,14-day weighted estimates,-,-,-,-,-
02 October 2020 to 08 October 2020 ,0.62,0.57,0.66,modelled weekly estimates,02 October 2020 to 08 October 2020,0.26,0.08,0.59,modelled weekly estimates,25 September 2020 to 08 October 2020,0.41,0.19,0.78,14-day weighted estimates,-,-,-,-,-
10 October 2020 to 16 October 2020 ,0.79,0.75,0.84,modelled weekly estimates,10 October 2020 to 16 October 2020,0.55,0.25,1.00,modelled weekly estimates,03 October 2020 to 16 October 2020,1.01,0.64,1.50,14-day weighted estimates,03 October 2020 to 16 October 2020,0.57,0.35,0.88,14-day weighted estimates
17 October 2020 to 23 October 2020 ,1.04,0.98,1.10,modelled weekly estimates,17 October 2020 to 23 October 2020,0.86,0.41,1.58,modelled weekly estimates,17 October 2020 to 23 October 2020,1.32,0.68,2.38,modelled weekly estimates,10 October 2020 to 23 October 2020,0.71,0.48,1.01,14-day weighted estimates
25 October 2020 to 31 October 2020 ,1.13,1.07,1.20,modelled weekly estimates,25 October 2020 to 31 October 2020,0.89,0.40,1.66,modelled weekly estimates,25 October 2020 to 31 October 2020,1.36,0.73,2.31,modelled weekly estimates,18 October 2020 to 31 October 2020,0.90,0.63,1.24,14-day weighted estimates
31 October 2020 to 06 November 2020 ,1.20,1.14,1.27,modelled weekly estimates,31 October 2020 to 06 November 2020,1.16,0.84,1.53,modelled weekly estimates,31 October 2020 to 06 November 2020,0.97,0.62,1.41,modelled weekly estimates,31 October 2020 to 06 November 2020,0.75,0.54,1.00,modelled weekly estimates
08 November 2020 to 14 November 2020 ,1.22,1.15,1.29,modelled weekly estimates,08 November 2020 to 14 November 2020,0.61,0.38,0.88,modelled weekly estimates,08 November 2020 to 14 November 2020,0.74,0.48,1.07,modelled weekly estimates,08 November 2020 to 14 November 2020,0.64,0.45,0.86,modelled weekly estimates
15 November 2020 to 21 November 2020 ,1.16,1.10,1.23,modelled weekly estimates,15 November 2020 to 21 November 2020,0.54,0.34,0.78,modelled weekly estimates,15 November 2020 to 21 November 2020,0.69,0.44,1.01,modelled weekly estimates,15 November 2020 to 21 November 2020,0.87,0.67,1.10,modelled weekly estimates
22 November 2020 to 28 November 2020 ,0.96,0.90,1.01,modelled weekly estimates,22 November 2020 to 28 November 2020,0.60,0.40,0.84,modelled weekly estimates,22 November 2020 to 28 November 2020,0.52,0.33,0.77,modelled weekly estimates,22 November 2020 to 28 November 2020,0.78,0.60,0.98,modelled weekly estimates
29 November 2020 to 05 December 2020 ,0.88,0.83,0.94,modelled weekly estimates,29 November 2020 to 05 December 2020,0.84,0.57,1.17,modelled weekly estimates,29 November 2020 to 05 December 2020,0.43,0.24,0.66,modelled weekly estimates,29 November 2020 to 05 December 2020,0.82,0.61,1.06,modelled weekly estimates
06 December 2020 to 12 December 2020 ,1.04,0.98,1.10,modelled weekly estimates,06 December 2020 to 12 December 2020,1.10,0.78,1.46,modelled weekly estimates,06 December 2020 to 12 December 2020,0.47,0.28,0.71,modelled weekly estimates,06 December 2020 to 12 December 2020,1.00,0.79,1.23,modelled weekly estimates
12 December 2020 to 18 December 2020,1.18,1.12,1.25,modelled weekly estimates,12 December 2020 to 18 December 2020,1.72,1.34,2.15,modelled weekly estimates,12 December 2020 to 18 December 2020,0.55,0.33,0.81,modelled weekly estimates,12 December 2020 to 18 December 2020,0.71,0.55,0.88,modelled weekly estimates
