"CNTSCHID" "PV1MATH" "PV1READ" "PV1SCIE" "ESCS" "TMINS" "Region"
"14158" 82600001 209.747 288.375 249.205 -0.1917 NA 82611
"14159" 82600001 313.078 379.692 333.125 NA NA 82611
"14160" 82600001 321.235 317.922 265.579 -1.413 NA 82611
"14161" 82600001 251.174 322.864 285.957 -0.4201 NA 82611
"14162" 82600001 494.059 538.52 424.851 -0.398 NA 82611
"14163" 82600001 343.687 328.517 348.229 0.0453 NA 82611
"14164" 82600001 445.411 380.74 416.004 -1.3487 NA 82611
"14165" 82600001 468.313 570.729 470.712 -0.4926 1500 82611
"14166" 82600001 391.296 272.828 357.022 -0.2864 NA 82611
"14167" 82600001 494.624 584.229 510.882 NA NA 82611
"14168" 82600001 362.775 344.504 277.954 0.7521 NA 82611
"14169" 82600001 320.778 319.949 285.702 -0.6577 NA 82611
"14170" 82600001 401.981 389.313 372.156 0.3912 NA 82611
"14171" 82600001 576.874 581.98 562.252 0.6286 2900 82611
"14172" 82600001 532.124 585.015 506.573 -0.7654 NA 82611
"14173" 82600001 389.94 463.322 437.051 -0.9056 NA 82611
"14174" 82600001 426.605 489.9 399.504 -0.6948 1500 82611
"14175" 82600001 435.306 485.7 417.578 -1.2031 NA 82611
"14176" 82600001 378.289 407.519 468.336 NA NA 82611
"14177" 82600001 240.409 268.693 298.925 -0.2946 NA 82611
"14178" 82600001 446.404 361.97 258.598 0.077 NA 82611
"14179" 82600001 468.138 523.953 391.332 0.3851 NA 82611
"14180" 82600001 353.891 351.039 356.857 NA NA 82611
"14181" 82600001 492.71 525.546 505.269 0.9543 1650 82611
"14182" 82600001 338.261 349.317 370.333 -0.0483 NA 82611
"14183" 82600001 363.607 339.57 291.791 NA NA 82611
"14184" 82600001 389.655 390.441 395.741 -0.207 NA 82611
"14185" 82600001 506.872 515.312 529.108 1.2851 1700 82611
"14186" 82600001 531.286 565.68 490.263 0.1641 NA 82611
"14187" 82600001 339.318 269.87 275.608 NA NA 82611
"14188" 82600001 374.971 330.759 347.865 NA NA 82611
"14189" 82600003 568.496 525.631 615.792 1.8923 1500 82611
"14190" 82600003 338.206 343.424 284.107 -0.6689 1500 82611
"14191" 82600003 470.855 359.516 446.821 NA NA 82611
"14192" 82600003 398.13 411.357 410.497 -0.2942 1500 82611
"14193" 82600003 402.608 423.527 365.913 0.3669 1500 82611
"14194" 82600003 495.499 481.85 464.132 1.2047 1500 82611
"14195" 82600003 377.469 321.748 356.889 -1.0044 1500 82611
"14196" 82600003 467.164 508.982 455.611 1.3349 NA 82611
"14197" 82600003 525.669 606.152 552.744 1.2299 1500 82611
"14198" 82600003 457.295 451.884 493.159 NA NA 82611
"14199" 82600003 549.598 617.927 566.094 0.2146 1440 82611
